City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
431,Goderich,CA,66.52,overcast clouds,43.7501,-81.7165,Harmony Inn
432,Tuscaloosa,US,71.38,overcast clouds,33.2098,-87.5692,Hampton Inn Tuscaloosa-University
433,Fredericton,CA,60.37,overcast clouds,45.9454,-66.6656,"Crowne Plaza Fredericton-Lord Beaverbrook, an IHG Hotel"
434,Ocos,GT,80.17,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
437,Miri,MY,78.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
440,Westonaria,ZA,73.76,clear sky,-26.3191,27.6486,Nolikha Bed & Breakfast Conference Area
443,Sitges,ES,84.7,scattered clouds,41.2351,1.8119,URH Sitges Playa
444,Dengzhou,CN,63.07,overcast clouds,37.8086,120.7508,Greentree Inn Penglai Free Harbor Business Hotel
447,Mount Isa,AU,56.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
448,San Quintin,MX,61.14,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
450,Galveston,US,79.03,clear sky,29.3669,-94.9669,Crystal Suites
451,Mitsamiouli,KM,81.05,light rain,-11.3847,43.2844,Foyer ADM
453,Fuling,CN,67.71,overcast clouds,29.7022,107.3919,Yingbin Hostel
454,Adelaide,AU,55.42,broken clouds,-34.9333,138.6,The Chancellor on Currie
457,Lyuban,BY,64.58,scattered clouds,52.7985,28.0048,"Gostinitsa ""Oressa"""
458,Tambopata,PE,75.09,broken clouds,-12.7333,-69.1833,Enashawa Lodge
459,Kawalu,ID,71.76,overcast clouds,-7.3817,108.2082,West Jontor
460,Krasnyy Chikoy,RU,60.12,clear sky,50.3643,108.7512,Persona
462,Jonkoping,SE,56.91,few clouds,57.7814,14.1562,Scandic Portalen
463,Takoradi,GH,79.41,moderate rain,4.8845,-1.7554,Raybow International Hotel
464,Amparafaravola,MG,70.41,clear sky,-17.5833,48.2167,Aina Franco
465,Ouesso,CG,77.02,light rain,1.6136,16.0517,ABENIE Hotel
466,Port-Gentil,GA,82.36,few clouds,-0.7193,8.7815,Fengshui Residence
467,Tikhvin,RU,62.22,overcast clouds,59.6451,33.5294,"Gostinitsa ""Staryy Dom"""
469,Nanma,CN,66.42,clear sky,36.1817,118.1583,GreenTree Inn Zibo Wuyuan County Lushan Road Express Hotel
472,Lagoa,PT,61.95,overcast clouds,39.05,-27.9833,Casa Das Faias
474,Bauta,CU,78.69,few clouds,22.9828,-82.5464,El Refugio
475,Rosetown,CA,57.65,clear sky,51.5501,-108.0014,Travelodge by Wyndham Rosetown
476,Sabang,ID,84.49,broken clouds,5.8933,95.3214,Hotel Citra
477,Bako,ET,72.12,light rain,5.7833,36.5667,Goh Hotel
480,Rocha,UY,55.06,clear sky,-34.4833,-54.3333,Hotel Arrarte
481,Varzea Da Palma,BR,79.56,scattered clouds,-17.5981,-44.7308,Casa Fernandes
482,Riberalta,BO,77.2,broken clouds,-10.9833,-66.1,Hotel Colonial
483,Kepno,PL,63.21,scattered clouds,51.2784,17.9891,Gawra
485,Alexandria,EG,82.36,clear sky,31.2156,29.9553,Royal Crown Hotel
486,Japura,ID,77.18,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
488,Huarmey,PE,66.02,overcast clouds,-10.0681,-78.1522,Hotel Miramar
489,Knysna,ZA,62.29,overcast clouds,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
490,Khani,GE,69.37,clear sky,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
491,Malanje,AO,81.77,clear sky,-9.5402,16.341,Hotel Ginga
493,Kahului,US,73.85,broken clouds,20.8947,-156.47,Maui Seaside Hotel
494,Emden,DE,64.02,overcast clouds,53.3667,7.2167,Upstalsboom Parkhotel
495,Virginia Beach,US,66.24,light intensity drizzle,36.8529,-75.978,Hilton Virginia Beach Oceanfront
498,Guerrero Negro,MX,62.06,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
499,Thomasville,US,65.32,overcast clouds,35.8826,-80.082,Comfort Inn Thomasville I-85
500,Port Lincoln,AU,56.88,clear sky,-34.7333,135.8667,Port Lincoln Hotel
501,Sendafa,ET,78.15,overcast clouds,9.15,39.0333,german hotel
502,Panzhihua,CN,75.42,moderate rain,26.5851,101.7128,Electric Power Hotel
504,Sao Jose Da Coroa Grande,BR,79.5,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
506,Lufilufi,WS,74.98,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
511,Sinnamary,GF,79.99,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
512,Ermelo,ZA,63.95,clear sky,-26.5333,29.9833,Zemira Guesthouse
514,Ewa Beach,US,74.08,clear sky,21.3156,-158.0072,Base Lodging
518,Polessk,RU,60.85,clear sky,54.862,21.1028,Vocation House
519,Barroquinha,BR,84.45,scattered clouds,-3.0189,-41.1361,Pousada barroquinha
520,Abancay,PE,60.4,scattered clouds,-13.6339,-72.8814,Siball Hotel
521,Baton Rouge,US,76.05,clear sky,30.4508,-91.1545,Hilton Baton Rouge Capitol Center
523,Shimoda,JP,67.12,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
525,Tecoanapa,MX,82.54,overcast clouds,16.5167,-98.75,Hotel Manglares
526,Sao Desiderio,BR,83.93,scattered clouds,-12.3633,-44.9733,Pousada do Luizão
528,Tayu,ID,76.46,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
531,Carrick-On-Suir,IE,64.11,overcast clouds,52.3492,-7.4131,The Carraig Hotel
